Term,KS1 Definition,KS2 Definition,KS3 Definition,KS4 Definition,Oak definition (if different from pre-existing),"KS5 Definition
(live on Ada platform)",BCS Definition (incomplete),Exam Board Specific Definitions (GCSE),Exam Board Specific Definitions (A Level) 
Domain name,,The part of a website’s URL which is user friendly and identifies that it is under the control of a particular person or organisation e.g raspberrypi.org,,,,A user-friendly name given to a domain that forms part of the internet.,,,
Domain name server,,,,,,A server that works to resolve domain names to corresponding IP addresses.,,,
Domain name system,,,,,,A hierarchy of servers that work together to resolve domain names to corresponding IP addresses.,,,
Dot product,,,,,,An operation that combines two vectors to produce a scalar value.,,,
Download,,The process of receiving data or files from a remote computer. Files received from remote computers are often referred to as downloads.,,,,,,,
Duration,,,,"A period of time, for example 30 seconds",,,,,
Dynamic data structure,,,,,,A collection of data that can grow (or shrink) in size at runtime.,,,
Dynamic filtering,,,,,,"A filtering method used by a firewall, that makes use of a connection table to keep track of open connections.",,,
Eavesdropping,,,,,,The process of monitoring network traffic to intercept the data being transmitted.,,,
Edge,,,,,,A connection between two nodes in a graph data structure. Also called arc.,,,
Efficiency,,,,,,An expression of the computational time and space required to perform an algorithm.,,,
Element,,,,A character in a string or an item in a sequence.,,,,,
Embedded system,,,,,,A complete computer system that has a dedicated function within a larger system.,,,
Empty set,,,,,,The unique set with no members.,,,
Encapsulation,,,,,,,,,
Encapsulation (OOP),,,,,,The concept of packaging data together with the methods that operate on that data.,,,
Encoding,,,,,,The process of representing data in binary form.,,,
Encryption,,,,,,The process of applying an encryption algorithm to plaintext to produce ciphertext that cannot be understood (without decryption).,,,
Encryption key,,,,,,Information that is needed by an encryption algorithm to encrypt (or decrypt) a message.,,,
Enqueue,,,,,,The process of adding an item to a queue.,,,
Entity,,,,"An entity is a single object, place, person or thing. E.g. player",,"Something about which data will be stored, e.g. a customer or booking.",,,
Entity relationship diagram,,,,,,A diagram that shows the degree of relationship between two or more entities.,,,
Erroneous data,,,,Data that should not be accepted by the program or it will cause an error.,,Test data that should be caught by validation and rejected by a system.,,,
Error messages,,,,Used for finding errors in your program. They pinpoint lines of code that contain errors and provide details about them.,,,,,
Ethernet,,,,,,A group of networking technologies commonly used in local area networks.,,,
Ethical hacking,,,,,,"The process of trying to break into a computer system with the permission of its owner, to determine its vulnerabilities and weak points. Also called penetration testing.",,,
Exception handling,,,,,,The process of dealing with unexpected events that might cause a program to terminate abruptly (crash).,,,
Event (Programming),,An input which causes a change to program flow,,,,,,,
Executable file,,,,,,A file that can be executed by the processor without further translation.,,,
Execute / Execution,,SEE: Run,,Carrying out the instructions for a computer program.,,,,,
Exponent,,,,,,Part of a floating point number that determines the position of the binary point.,,,
Exponential time,,,,,,The time complexity of an algorithm where the time taken to run it increases by an exponential factor on each single addition to the input data set.,,,
Export,,Saving a project in a file format so that it can be used in another program,,,,,,,
Expression,,,,"A combination of numbers, symbols, and sometimes words (in the case of text) that can be calculated to produce a single result.
",,,,,
Fetch-decode-execute cycle,,,,,,"A process that is followed repeatedly by the processor in order to carry out instructions. It has three stages: fetch, decode, execute. It is also called the instruction cycle or fetch-execute cycle.","The fetch-decode-execute cycle is the complete process of retrieving an instruction from store, decoding it and carrying it out.",,
Fibre-optic cable,,,,,,A cable that can be used to transport electromagnetic waves in the infrared region. These waves are modulated to carry digital data at high speeds over long distances.,,,
Field,,The part of a record which are the category headings for data in a table.,,Also known as an attribute. It is the properties or characteristics of an entity.,,,,,
File,,"A collection of data stored digitally, identified by a name",,,,,,,
File handling mode,,,,,,"An operation that is specified within a command to open a file, that determines how a file can be used.",,,
File type extension,,,,,,"A suffix given to a file name to mark what kind of data is contained in the file, or what type of program created it. Examples include '.docx', '.jpg', and '.pdf'.","is the type of data that is held in a file. This might be an executable program or data structured for a particular application. To assist the user in recognising the appropriate file, many computer systems use a short three-or four-character filename extension added to the name, to identify the file type. Thus, the file ‘timetable.doc’ is seen to be a Microsoft® Word document, ‘message.txt’ a text file, ‘barbecue.bmp’ a bitmap graphic, and so on. Also referred to as filename extension or file type.",,
Filter (Data),,Given criteria used to show a subset of data set,,,,,,,
Filter function,,,,,,"A higher-order function that takes a list and some criteria as arguments, and returns a new list. The new list contains only those items that meet the specified criteria.",,,
Final testing,,,,Testing a program at the end of its creation.,,,,,
Fingerprint,,,,,,A clue that helps to decrypt a message.,,,
Finite set,,,,,,A set where the number of elements is countable.,,,
Finite state machine,,,,,,A model of a system with a finite number of states. Transition between states depends on the input received when the machine is in a particular state.,,,
Firewall,,,,,,A system that filters network traffic to protect against unauthorised flows of data in or out of the network.,,,
First-class object,,,,,,An object that can be used as an argument to a function or produced as a return value.,,,
Fixed point number,,,,,,A real number where the binary point is stored in a fixed position.,,,
Flag,,,,,"A flag in a program is like a signal or switch that can be either ""on"" (True) or ""off"" (False).",,,,
Flash memory,,,,,,A general term for non-volatile memory devices that store binary data in electrical circuits.,,,
Flip-flop,,,,,,A circuit that can store a single-bit value to act as a simple memory unit.,,,
Float,,,,,,A data type for a number with a decimal place. Stored as a floating point number.,,,
Floating point number,,,,,,"A real number that is stored as a mantissa with a given number of significant digits, and an exponent that determines the position of the binary point.",,,
Flowchart,,,,A visual representation of an algorithm or program.,,A diagram that uses a standard set of symbols to document an algorithm.,,,
For loop,,,,An iterative statement that will repeat for the length of a given sequence.,,,,,
Foreign key,,,,,,An attribute in one table that is the primary key in another table and is used to link the tables together.,,,
Frequency,,,,The time period for a single wave,,,,,
Frequency analysis,,,,,,The process of examining the distribution of the letters or symbols in a piece of text.,,,
Frequency band,,,,,,A continuous range of radio wave frequencies allocated to a particular service. Frequency bands are often split into channels.,,,
Front,,,,,,A pointer to the start of a queue.,,,
FTP,,,,,,File Transfer Protocol. An application layer protocol that handles the exchange of files between FTP clients and FTP servers.,,,
Full adder,,,,,,"A circuit, made up of several half adders, that performs the addition of binary numbers",,,
Function (Mathematics),,,,,,A set of rules that connects a set of values (the inputs of the function) to another set of values (the outputs of the function). Every member of the inputs set must map to a single element from the outputs set.,,,
Function (Programming),,,,A subroutine that returns a value.,,A subroutine that returns a value.,"is similar to a procedur, but returns a single value. The name of the function is usually used as a variable having that value. Every time the name is used in the program, the function will be executed and the result will appear like any other variable.",,
Function call,,,,A statement used to execute a function.,,,,,
Function composition,,,,,,An operation in which one function is applied to the result of another function.,,,
Function type,,,,,,The data type of a function's parameter(s) and return value(s).,,,
Functional programming,,,,,,"A declarative programming paradigm, where pure functions are applied to data to transform it into new data. In functional programming data is immutable and programs have no state.",,,
Gateway,,,,,,"A device within a network that connects it to another network. If the networks use different protocols, it will handle the conversion from one protocol to the other.",,,
GDPR,,,,,,"General Data Protection Regulation. It specifies the rules relating to the collection, storage and distribution of personal data that apply to most UK businesses and organisations.",,,
General case,,,,,,A statement that expresses the solution to a problem in terms of a reference to a smaller version of that same problem.,,,
Generalisation (abstraction),,,,,,The process of removing unnecessary detail so that the problem can be generalised into a similar category of problems.,,,
Gibibyte,,,,A measurement of storage that is equivalent to 1024 mebibytes,,"One gibibyte is $1,073,741,824$ bytes ($2^{30}$). The symbol for the gibibyte is GiB. See also gigabyte.",,,
Gigabyte,,,,A measurement of storage that is equivalent to 1000 megabytes,,One gigabyte is one billion bytes ($10^{9}$). The symbol for the gigabyte is GB. See also gibibyte.,,,
Global variable,,,,A global variable can be accessed and modified from anywhere in the program.,,A variable that is accessible from all parts of a program.,"Global variables can be used anywhere in the program. In a large system, global variables should only be used for data that needs to be shared between sections and should be clearly documented at the design stage.",,
Graph,,,,,,A non-linear data structure that comprises a set of connected nodes.,,,
Graph schema,,,,,,Describes the vertices and edges in a graph and defines how they relate to each other. Often shown in the form of a diagram.,,,
GUI,,,,"Acronym for Graphical User Interface. It is an event driven program that allows the user to interact with it in a variety of ways. For example, buttons and icons.",,Graphical User Interface. A type of interface that allows the user to interact with a computer system. It usually involves clicking on icons or selecting options from a menu.,"replaces some or all of the words with icons that indicate what action is required. It usually relies on a pointer device, or gesture recognition. The most common GUI is the WIMP interface, which stands for ""windows, icons, menus, pointer""",,
Guizero,,,,A third party library that can be imported into Python to create a GUI.,,,,,
Hacking,,,,,,Gaining unauthorised access to or control of a computer system.,,,
Half adder,,,,,,A circuit that performs the addition of two bits. It takes two bits as input and outputs a sum and carry bit.,,,
Halting problem,,,,,,A problem that is significant to the theory of computation as it proves that some problems are undecidable or cannot be computed.,,,
Hard disk drive (HDD),,,,,,"A form of magnetic secondary storage device, in which magnetic dots stored on platters (or disks) are used to store binary data.",,,
Hardware,,The physical parts of a computer system.,,,,The physical components of a computer system.,,,
Harvard architecture,,,,,,A computer architecture that provides separate memories for data and instructions.,,,
Hash table,,,,,,An abstract data type that is used to optimise searching. Values are stored at locations of which the positions can be calculated by applying an algorithm to the key (of that data).,,,
Hashing algorithm,,,,,,An algorithm that generates a hash value from a key.,,,
Head function,,,,,,A function that returns the first item of a list of items as a scalar value.,,,
Header (Data packet header),,See: Packet (Header),,,,,,,
Heading (HTML),,,,,,"Text that is usually larger or of a different style, to denote a section within a page.",A HTML heading or HTML <h> tag can be defined as a title or a subtitle which you want to display on the webpage. <h1> is the largest heading tag (to make title most prominent) and <h6> is the smallest one. ,,
Heap,,,,,,A pool of memory that is allocated to service dynamic data structures,,,
Heuristic,,,,,,"An approach to solving a problem that will provide an approximate or good enough"" solution to an intractable problem. """,,,
Hexadecimal,,,,"A number from the base 16 number system. Letters A, B, C, D, E and F are used to represent 10, 11, 12, 13, 14 and 15. ",,A number system that uses 16 distinct symbols (the numbers 0-9 and the letters A-F) to represent a number. Also called hex or base-16.,,,
Hierarchy chart,,,,,,A diagram that shows the design of a system from a top-down perspective.,,,
High-level languages,,,,"A human readable language written in formal, structured English.",,Programming languages that allow the programmer to specify the logical steps to solve a problem without having to worry about the low-level machine operations needed to perform the computation.,,,
HTML,,(Hypertext Markup Language) A standardised language used to define the structure of web pages,,,,Hypertext Markup Language. Used to specify the elements of a web page to allow them to be presented in a certain way.,"is a mark-up language developed for multimedia documents, such as World Wide Web pages.",,
HTML element,,,,,,"A component of an HTML page that is enclosed within a start tag and an end tag. For example, `<h1>My first book</h1>`.",,,
HTTP,,,Hypertext Transfer Protocol. An application layer protocol that enables data exchange between web clients and web servers.,,,Hypertext Transfer Protocol. An application layer protocol that enables data exchange between web clients and web servers.,,,
HTTPS,,,Secure Hypertext Transfer Protocol. A set of application layer protocols that securely handles the exchange of data between web clients and web servers by encrypting the data.,,,Secure Hypertext Transfer Protocol. A set of application layer protocols that securely handles the exchange of data between web clients and web servers by encrypting the data.,,,
Hub,,,,,,"A network device that is used to connect devices on a local area network. It is used to simplify cabling systems and acts as a repeater. When data arrives at a port, it is broadcast to the devices connected to every other port.",,,
Huffman coding,,,,Huffman coding is a lossless compression technique. It does this by assigning bit patterns of varying lengths to characters.,,,,,
Huffman tree,,,,A Huffman tree is used as part of Huffman compression. It has the same structure as a binary tree. Low frequency characters are placed at the bottom of the tree and high frequency characters are placed near the top. ,,,,,
Hyperlink,,"(or link or weblink) Text or media that when clicked, takes the user to another specified location (URL) ",,,,,,,
I/O controller,,,,,,Input/Output controller. Manages the flow of data between the processor and the input and output devices.,,,
Id (HTML),,,,,,An identifier that is applied to a single HTML element to style it in a way that is specified by a corresponding CSS rule-set.,,,
IDE (Integrated development environment),,,,Integrated development environment. This is a place to write programs that provides support with debugging and diagnostics.,,An application that facilitates the writing and running of programs. It also provides support with debugging and diagnostics.,,,
Identifier,,,,,,"The name that a programmer gives to a variable, constant, or subroutine.",,,
Image file,,,,,,A file containing a digital image.,,,
Image resolution,,,,"Resolution refers to the dimensions of an image in pixels. It also refers to the number of pixels that are available in each inch (pixels per inch). The higher the number of pixels in the image, the better quality it will be.",,,,,
Immediate addressing,,,,,,"A method of addressing, where the operand is the actual data to be used.",,,
Immutable,,,,,,Not able to be changed.,,,
Imperative language,,,,,,A programming language where the programmer defines a set of statements that must be followed (in the given order) to solve a problem.,,,
Import,,Copying a file or data into a program from a different program,,The keyword that enables a module to be brought into our programs.,,,,,
In-order traversal,,,,,,A method of traversing a tree so that a node is processed after its left subtree has been examined and before its right subtree has been examined.,,,
Index,,,,"The location of items or elements in a list, array or string.",,A number that describes the position of an item within an array. Most computer systems start indexing at 0.,,,
Infinite set,,,,,,A set where the number of elements is not countable.,,,
Infix notation,,,,,,Expressions that are written with the operators positioned between the operands.,,,
Information,Is data put into context which provides meaning,Is data put into context which provides meaning,,,,,,,
Information,,,,,,,,,
Information hiding,,,,,,"A technique that removes all unnecessary detail from a problem to expose its essential characteristics, in order to derive a solution.",,,
Information techology,"The study, use and development of computer systems for storing, processing, retrieving and sending information","The study, use and development of computer systems for storing, processing, retrieving and sending information",,,,,,,
Inheritance,,,,,,A feature of OOP that allows you to base one class on another. The new subclass (or child class) inherits all the attributes and methods of the superclass (or parent class).,,,
Initialisation,,Code which sets the initial values of a program,,Assigning an initial value to a variable to let the compiler know that a memory location is required.,,,,,
Inline style,,,,,,A CSS rule-set that is written directly within the tag of an HTML element.,,,
Input,,Data that is sent to a program to be processed,,,,,,,
Input device,,"A piece of hardware used to control, or send data to, a computer",,,,Peripheral devices such as keyboards and microphones that allow data to be entered into a computer system.,,,
Input(),,,,A function that prompts the user for input.,,,,,
Insertion sort,,,,,,A sorting algorithm that progressively evaluates items in a list and inserts them into the correct place in an ordered sublist.,,,
Instantiation,,,,,,A feature of OOP where a new object is created from a class definition and assigned to a reference variable.,,,
Instructions,,,,Information on how to carry out a specific task.,,,,,
Integer,,,,"A whole number (no fractions or decimals) that can be positive, negative, or zero.",,"A whole number, such as 5. It can be positive or negative.",a whole number.,,
Integer division,,,,In integer division there can be remainders because the resulting value will be a whole number. For example 7 ÷ 3 will calculate as 2.,,A division where the quotient (result) is an integer and any remainders are discarded. Integer division is sometimes also called floor division.,,,
Integers (set),,,,,,The infinite set of all whole numbers (positive or negative) including zero.,,,
Integrity,,,,,,"The reliability of data in terms of its accuracy, completeness and consitency.",,,
Interface,,,,"A term used with subroutines to describe how it will interact with the program. It refers to the subroutine identifier, parameters, order of parameters and the return values.",,A shared boundary across which two or more components of a computer system exchange information.,,,
Internet,,The global system of interconnected computer networks.,,,,,,,
Internet registrar,,,,,,A commercial organisation that will register a domain on your behalf.,,,
Internet registry,,,,,,An organisation that allocates domains and maintains the official register of domain owners for one or more top-level domains.,,,
Interpreter,,,,An interpreter translates and executes code line by line. It translates the code into machine readable code.,,"A program that translates and executes the instructions of a program written in a high-level language, one line at a time.",,,
Interrupt,,,,,,A signal sent to the processor requesting immediate attention.,,,
Interrupt service routine,,,,,,A program that handles a processor interrupt,,,
Intractable problem,,,,,,A problem that cannot be solved by a computer system in a reasonable amount of time.,,,
IP,,,,,,Internet Protocol. An internet (network) layer protocol that ensures that packets can be transferred between the source and destination using the IP addresses in the packet header.,,,
IP address,,"An identifier, such as 192.168.4.8, that is assigned to a networked device",,,,Internet Protocol address. A binary number assigned to a node in an internet network that is made up of a network ID and a host ID.,,,
Irrational numbers,,,,,,The infinite set of numbers that cannot be expressed as fractions (or ratios).,,,
Iteration,,,,"Repetition of code blocks. For example, a while loop.",The process of repeating a sequence of instructions a number of times within a program loop.,The process of repeating a sequence of instructions a number of times within a program loop. This can be a fixed number of repetitions (count-controlled loop) or the number of repetitions can be controlled by a condition (condition-controlled loop).,is the process of repeating a sequence of steps. Iteration will involve a loop that is repeated (iterated) until the required answer is achieved. The first time the instructions in the loop are executed is the first iteration.,,
Iterative testing,,,,Testing a program during its creation.,,,,,
JavaScript,,,,,,A high-level programming language that can be executed by most web browsers. JavaScript can be used to change the appearance and behaviour of a webpage.,,,
Join method,,,,The join method takes a list and joins each value in that list into one string.,,,,,
JSON,,,,,,JavaScript Object Notation. An open file format that uses human-readable text for data transmission.,,,
Karnaugh map,,,,,,A way of arranging the truth table for a Boolean expression to facilitate simplification.,,,
Key,,,,"In a dictionary data structure, a key is used to identify each attribute held in the dictionary.",,,,,
Kibibyte,,,,A measurement of storage that is equivalent to 1024 bytes,,"One kibibyte is $1,024$ bytes ($2^{10}$). The symbol for the kibibyte is KiB. See also kilobyte.",,,
Kilobyte,,,,A measurement of storage that is equivalent to 1000 bytes,,"One kilobyte is $1,000$ bytes ($10^{3}$). The symbol for the kilobyte is kB. See also kibibyte.",,,
Layer (Graphics),,"The level on which an object (e.g. text, shapes, and photos) can be placed relative to other objects",,,,,,,
Latency,,,,,,The time delay between a signal being sent and a signal being received.,,,
Least significant bit (LSB),,,,The bit to the far right of a binary representation.,,,,,
LED matrix,,,,A group of LEDs placed in a grid structure.,,,,,
Legislation,,,,,,The laws that apply within a country. Computing legislation is a set of laws that regulate the use of computers and related areas.,,,
Library programs,,,,"In Python, the library contains built-in modules that provide access to system functionality such as file i/o.",,Shared repositories of code that can be used by other programs,,,
Linear search,,,,,,"An algorithm that searches for an item in a list of items by systematically examining each item ,one after another.",,,
Linear time,,,,,,The time complexity of an algorithm where the time taken to run it rises in direct proportion to the size of the input data set.,,,
List,,,,A dynamic data structure that holds items under one name. The items can be of varying data types.,,An abstract data type that defines a linear collection of related items.,,,
List (HTML),,,,,,"A series of items, which may be numbered or marked with bullet points.",,,
Local variable,,,,,,"A variable that is only defined and visible for use in specific parts of a program, e.g within a subroutine.",a variable defined only for use in one part of the program (normally a function or procedure). They come into existence when that part of the program is entered and the data they contain is lost when execution of that part of the program is completed. ,,
Logarithmic time,,,,,,The time complexity of an algorithm where the time taken to run it is proportional to the logarithm of the size of input data set.,,,
Logic circuit diagram,,,,,,A diagram that illustrates the arrangement of logic gates in a circuit.,,,
Logic error,,,,"The program will run, but won’t do what the programmer expected. These are tricky to spot as they are not picked up by the IDE.",,An error in source code that results in a program behaving unexpectedly.,,,
Logic gate,,,,,,An electronics component that carries out a logical operation on one or more inputs to produce a single output.,,,
Logic puzzle,,,,,,A puzzle that can be solved by logical thinking.,,,
Logical expression,,,,An expression that evaluates as either True or False.,,,,,
Logical operators,,,,"An operator used in a logical expression. For example AND, OR and NOT.",,"Operators (such as AND, OR, and NOT) that are used to form logical expressions. Also called Boolean operators.","Two of these truth values are combined to give another truth value. Logical operators include AND, OR, NOT. TRUE and FALSE are the only two data values allowed in logical operations. They can be combined to determine how the computer takes a decision.",,
Loop,,"(Count-controlled, condition-controlled, or infinite) Commands which repeatedly run a defined section of code.",,,,A sequence of instructions that is repeated. This can be a fixed number of repetitions (count-controlled loop) or the number of repetitions can be controlled by a condition (condition-controlled loop).,"is a group of instructions that is repeatedly executed. The instructions may be repeated a fixed number of times (as in a for loop) or a variable number of times, with the instructions being repeated until some specified condition is satisfied (as in a while … do or repeat … until loop).",,
Loop (condition-controlled),,A command which repeatedly runs a defined section of code until a condition is met.,,,,,,,
Loop (count-controlled),,A command which repeatedly runs a defined section of code a predefined number of times.,,,,,,,
Loop (infinite),,A command which repeatedly runs a defined section of code indefinitely,,,,,,,
Lossless compression,,,,A compression type that does not result in a loss of data.,,A method of compression where no data is permanently lost during the process.,,,
Lossy compression,,,,A compression type that results in a loss of data.,,A method where data is permanently lost during the compression process and must be approximated when the file is decompressed.,,,
Low-level language,,,,This can be quickly executed by a computer. It is written in either machine code or assembly.,,Programming languages that require the programmer to specify the steps to solve a problem in terms that are aligned to the operations of a specific machine.,,,
MAC address,,,,,,Media Access Control address. An address given to a network interface controller. Used to uniquely identify devices on a local area network.,,,
Machine code,,,,A program written using 1s and 0s. A computer can execute this directly.,,Program instructions that require no further translation.,,,
Magnetic storage,,,,,,A technique to store data using polarised magnetic dots. The polarity of the dot is used to represent a 1 or a 0.,,,
Main memory,,,,,,A unit with addressable memory locations that can be accessed directly by the processor. Stores data and instructions while they are being processed.,,,
Majority voting,,,,,,A method of error detection where each bit is sent multiple times and the majority value is used by the receiving device.,,,
Malware,,,,,,"Malicious software. A program designed to cause damage to computer systems, corrupt or change files, steal data, or cause disruption to services.",,,
Mantissa,,,,,,Part of a floating point number that contains the significant digits.,,,
Map function,,,,,,"A higher-order function where a given function is applied to every element in a given list, resulting in a new list.",,,
Mealy machine,,,,,,A type of finite state machine that produces outputs,,,
Meaningful identifiers,,,,Naming a variable or data structure using a sensible name that can be easily recognised and remembered.,,,,,
Mebibyte,,,,A measurement of storage that is equivalent to 1024 kibibytes,,"One mebibyte is $1,048,576$ bytes ($2^{20}$). The symbol for the mebibyte is MiB. See also megabyte.",,,
Megabyte,,,,A measurement of storage that is equivalent to 1000 kilobytes,,"One megabyte is $1,000,000$ bytes ($10^{6}$). The symbol for the megabyte is MB. See also mebibyte.",,,
Memory,,,,,,Storage within a computer system.,,,
Memory Address Register (MAR),,,,,,The register that holds the address of a memory location that the processor will read data from or write data to.,,,
Memory Buffer Register (MBR),,,,,,The register that holds the data that is being transferred to or from main memory. Also called the memory data register (MDR).,,,
Memory Data Register (MDR),,,,,,The register that holds the data that is being transferred to or from main memory. Also called the memory buffer register (MBR).,,,
Merge sort,,,,,,"A sorting algorithm that works by repeatedly splitting data into sublists and merging pairs of sublists, ordering the items as they are merged.",,,
Metadata,,,,Metadata means ‘data about data’.,,Data that provides information about other data.,,,
Method,,,,A function that belongs to an object.,,"In OOP, a function or procedure that is defined as part of a class definition.",,,
Microcontroller,,"a simple computer that can be programmed to respond to inputs from, and control the outputs of, components connected to it",,,,,,,
MIDI,,,,,,"Musical Instrument Digital Interface. A technical standard that includes hardware specifications and a protocol to allow electronic musical instruments and computer systems to communicate, and produce and manipulate music.",,,
MIDI (Musical Instrument Digital Interface),,,,,,,,,
Midpoint,,,,,,"The index (position) of the item that is directly in the middle of a list, or to the left of the middle if the list contains an even number of items.",,,
Mnemonic,,,,A code to help us remember something.,,A meaningful code (such as LOAD) that is used to represent an opcode in an assembly language program.,,,
Modem,,,,,,A device used to convert digital data into signals that can be transmitted across a telecommunication system such as such as telephone lines or radio.,,,
Module,,,,"In Python, a module is a file containing Python definitions and statements. The functionality of these definitions and statements is then available to be made use of.",,,,,
Modulo operation,,,,,,An operation that returns the remainder of a division. The modulo operator is often represented by the abbreviation MOD or a percent sign (%).,,,
Modulo operator,,,,Calculates the remainder of a division. For example 7 MOD 3 will calculate as 1.,,,,,
Most significant bit (MSB),,,,The bit to the far left of a binary representation.,,,,,
Mutable,,,,,,Able to be changed.,,,
Naming convention,,,,A unified standard for naming things in a chosen programming language.,,,,,
NAND,,,,,,A Boolean operation that outputs True if either or both of the input values are False. It is the logical inverse of AND.,,,
Natural numbers,,,,,,"The infinite set of positive integers, which includes zero.",,,
Nested iteration,,,,"Nesting is the process of putting a statement inside of another. This can be achieved
through both iteration and selection statements. (AQA)",,A block of code where a loop is contained within another loop. The statements inside the inner loop are executed in their entirety for every iteration of the outer loop.,A nested loop is a loop contained within another loop. The inside loop will be executed a number of times for each single execution of the outer loop.,,
Nested selection,,,,A selection block placed within another selection block.,,,,,
Network,,See computer network,"A group of devices connected together, wirelessly or using cables, to enable communication and the sharing of resources.",,,,,,
Network channel,,,,,,A band of frequencies that is allocated for devices on the same wireless network to communicate on.,,,
Network forensics,,,,,,The process of monitoring and analysing network traffic to detect and help identify intruders as well as systems and data that may have been accessed.,,,
Network Interface Controller (NIC),,,,,,A component that allows a device to connect to a network.,,,
Network security,,,,,,A collection of measures and tools adopted to control network traffic and prevent unauthorised access or use of data.,,,
Newline character,,,,,,A control (non-printing) character that denotes the end of a line of text and the start of a new line. An escape sequence such as `\n` is often used in programming languages to signify a new line.,"ASCII and Unicode character sets include the set of symbols called control characters, these are non-printing characters and are used for special purposes. Examples include carriage return.",,
Nibble,,,,"A storage type that is equivalent to half a byte, 4 bits or 1 hexadecimal number.",,,,,
Node,,,,,,A fundamental unit of data within a graph data structure. Also called vertex.,,,
NOR,,,,,,A Boolean operation that outputs True if both of the input values are False. It is the logical inverse of OR.,,,
Normal data,,,,Data that should be accepted by a program. This is data that you would expect a user to enter.,,,,,
Normalisation (databases),,,,,,"The process of defining efficient tables in a database by ensuring that data is dependent on the key, the whole key and nothing but the key.",,,
Normalisation (floating point numbers),,,,,,The process of optimising the representation of a floating point number so that each number has a unique representation.,,,
NOT,,,,,,A Boolean operation that outputs True if the input value is False and vice versa,,,
Object,Something that can be named and has other attributes (properties) which can be labelled.,Something that is uniquely identifiable and has attributes. ,,,,"In OOP, an instance of a class with specific data.",,,
Object code,,,,,,Program code that has been translated and needs to be linked to become executable.,,,
Object-oriented programming (OOP) paradigm,,,,,,An approach to software development that focuses on the concept of using objects that interact to make up a system.,,,
One-time pad,,,,,,"An encryption key that is used just once to encrypt and decrypt a message, and is then completely destroyed.",,,
Opcode,,,,,,Part of a machine code instruction that defines the fundamental machine operation to be used.,,,
Open set,,,,,,,,,
Open source software,,,,,,Software for which the program source code is made available to the general public.,,,
Operand,,,,A piece of data that can be changed,,Part of a machine code instruction that defines the data or location of the data to be used.,,,
Operating System,,,,,,"System software that manages hardware, software, and resources, and provides services for other software. It will also usually provide an interface for the end user.",,,
Operator,,,,"A symbol (like +, -, *, /) or special word (like ""and"", ""or"") that instructs the computer to perform a specific calculation or action",,,,,
Optical storage,,,,,,"A storage technique that uses discs. Data is stored as marks on the reflective surface of the disc. Examples include CD, DVD, and Blu-Ray.",,,
OR,,,,,,A Boolean operation that outputs True if either or both input values are True,,,
Output,,The result of data processed by a computer,,,,Information produced by a computer system as a result of processing data.,,,
Output device,,A piece of hardware which is controlled by outputs from a computer,,,,A piece of hardware that displays or produces information from a computer system,,,
Overflow,,,,When the result of a calculation is too large to be stored in the allocated number of bits.,,Occurs when the result of a calculation is a number that is too large to be represented.,,,
Overriding,,,,,,"In OOP, allowing an inherited method to be replaced by a more appropriate version (using the same identifier) in the child class.",,,
Packet (Data Packet),,Small chunks of a whole file that are sent (transmitted) over a network. Each packet contains a header and a payload,,,,,,,
Packet header,,Part of a packet that contains addressing and other data,,,,The initial fields at the start of a packet that specify a series of parameters used to ensure the correct routing and processing of the packet.,,,
Packet Payload,,Part of a packet that contains a section of the actual data being sent (transmitted).,,,,,,,
Packet switching,,,,,,A method of transmitting data across the internet using small packets of data that can take any route and are reassembled by the receiving computer.,,,
Parallel communication,,,,,,A method of communication where many bits are sent at the same time on a set of wires or tracks on a printed circuit.,,,
Parameter,,,,Used in a subroutine to allow values to be passed into them.,,"Part of the definition of a subroutine that specifies the data value(s) or reference(s) to be passed to the subroutine when it is called. When calling a subroutine, the values of the parameters are passed into the subroutine as arguments.","When the function or procedure is used, the calling program must pass parameters to it (parameter passing). The formal parameter links the data in the calling program (which will change) to its use in the function or procedure. The data item supplied, known as an actual parameter or argument, is passed to the local variable.",,
Parity bit,,,,,,A bit that is calculated from a set of data bits and used for error detection.,,,
Partial function,,,,,,"A function that has been called with only some of the required arguments, allowing it to be reused or used as a building block for other functions.",,,
Pass,,,,,,A complete traversal of a list.,,,
Passing by reference,,,,,,"In many programming languages, parameters of subroutines can be specified either by value or by reference. When passing by reference is used, the memory address of an argument is passed into the subroutine. This means that the subroutine can change the actual value of the argument.","Actual parameters can be passed to functions and procedures either by value or by reference.  If the data is passed by reference, the location (in memory) of the data is used. This means that any changes are retained after the procedure or function has been completed.",,
Passing by value,,,,,,"In many programming languages, parameters of subroutines can be specified either by value or by reference. When passing by value is used, a copy of the argument's value is passed into the subroutine. This means that the subroutine can't change the original value of the argument.","Actual parameters can be passed to functions and procedures either by value or by reference. If a data item is passed by value, a (local) copy of the data is used, which is discarded when the subprogram exits.",,
Payload (Data packet payload),,See Packet (Payload),,,,,,,
Peek,,,,,,"The process of looking at, but not removing, the item at the top of a stack.",,,
Peer-to-peer networking,,,,,,A network architecture where all devices have equal status and can share resources directly with each other.,,,
Performance modelling,,,,,,The process of evaluating if a system or a program performs as expected (or not) before being released.,,,
Peripheral,,,,,,"Additional hardware devices that are external to the core components of a computer system. These devices can be used for input, output, or data storage.",,,
